threshold,balanced_accuracy
0.05,0.9480686052916912
0.1,0.9590274108697068
0.15,0.9622779584887945
0.2,0.9644188260554714
0.25,0.964109122821035
0.3,0.9645271401314062
0.35,0.9635724289192393
0.39999999999999997,0.9616650696201617
0.44999999999999996,0.9611813605260744
0.49999999999999994,0.9608016048113581
0.5499999999999999,0.9579394874109035
0.6,0.9535179286522522
0.65,0.9525144057720993
0.7,0.9479994905956186
0.75,0.9370473901746847
0.7999999999999999,0.9293096389024399
0.85,0.92389937425411
0.9,0.9100299678321261
0.95,0.871920340108074
